,Name,Distance,Mass,Radius
309,2MASSW J1555157-095605 [de],44.0,71,1.03
311,2MASS J16150413+1340079 [de],48.0,42,0.94
313,SDSSp J162414.37+002915.6 [de],36.0,43,0.94
315,2MASS J16262034+3925190 [de],110.0,71,1.03
317,2MASSW J1632291+190441 [de],50.0,49,0.97
319,WISEPA J164715.59+563208.2,28.0,41,0.94
321,LSPM J1658+7027 [de],60.0,73,1.04
323,2MASSI J1726000+153819,114.0,24,1.4
327,SDSSp J175032.96+175903.9,90.0,47,0.97
329,2MASS J18283572-4849046,39.0,45,0.95
331,LSR J1835+3259,18.5,77,1.07
333,2MASSW J1841086+311727,138.0,67,1.01
335,2MASS J18432213+4040209,46.0,96,1.22
337,2MASS J20004841-7523070,105.0,25,1.88
339,SDSS J204749.61-071818.3,65.0,46,0.96
341,2MASSI J2057540-025230,47.0,70,1.02
345,2MASSI J2104149-103736,62.0,69,1.02
347,PSO J318.5−22,80.0,6.5,1.53
349,HB 2124-4228,113.0,94,1.21
351,2MASS J21392676+0220226,32.1,46,0.96
353,2MASS J21481628+4003593,26.3,55,0.99
357,2MASSW J2206450-421721,93.0,22,1.33
359,2MASSW J2208136+292121,154.0,27,1.41
361,2MASSW J2224438-015852,38.0,61,0.99
363,2MASS J22282889-4310262,35.0,42,0.94
365,2MASS J22373255+3922398,64.0,73,1.04
367,2MASSW J2244316+204343,56.0,12,1.29
369,2MASS J23224684-3133231,56.0,24,1.39
371,2MASS J23225299-6151275,148.0,17,1.59
373,2MASS J23515044-2537367,67.0,88,1.16
375,2MASSI J2356547-155310,74.0,80,1.09
451,WISE 0410+1502,20.0,6,1.17
459,WISE 0458+6434A,35.9,15,4.2
461,WISE 0458+6434B,35.9,10,3.8
569,WISE 1405+5534,25.3,30,0.86
705,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.1017353699999999
707,2MASS J00040288-6410358,192.0,0.018137172,0.1675036899999999
709,2MASS J00242463-0158201,37.7,0.075412452,0.11201167
711,2MASS J00274197+0503417,236.0,0.029592228,0.1479787199999999
713,2MASSW J0030300-145033,87.2,0.051547752,0.1007077399999999
